url,label
ndp.ca/district/24056,good
theteesbar.com/pkginfo/mobile2016/228a43543cdcfc0e935b7d38a4d0f6cf/2b3471ef6ecf62f587428c4baf493e87/,bad
bm2. ch/contao/,bad
mda.no-ip.org:88,bad
facebook.com/luc.derome,good
linkedin.com/pub/clay-tucker/4/328/48a,good
calameo.com/books/000009323e4f50625140f,good
en.wikipedia.org/wiki/Mashmakhan_(album),good
start.cortera.com/company/research/k2k6lrq0j/rc-goodwin--associates-inc/,good
royalgateenergy.com/wp-admin/js/images/httpdocs/823a58d9150659a52507e471c8cad208,bad
mapquest.com/maps?address=501+Conant+St&city=Maumee&state=OH&zipcode=43537,good
unmewpongo.com/1efk0h,bad
gw4.geneanet.org/monartque?lang=en;m=P;v=jean,good
woblk17jc.homepage.t-online.de/ao4sg9,bad
facebook.com/pages/Tommy-Joe-Ratliff/207027459604,good
fam.eastmill.com/f497.htm,good
twolegblackblue.erickarcelliott.com/q_WvJ6yfUImnE6rejts9XYi97URnITs2WEj4-9MUji8f4Z6McFWDHP63pJJ0FrJmQA_dHw==\n,bad
tvguide.com/celebrities/michael-franti/257882,good
marialorena.com.br/wp-content/plugins/hello123/8888ytc6r.exe,bad
livetvonlinebd.blogspot.com/,good
218.248.33.57/poste/update_member.html,bad
biomedexperts.com/Profile.bme/318014/Jean-Pierre_Despr%c3%a9s,good
islandregister.com/campbelldewar.html,good
en.wikipedia.org/wiki/Montreal_Mirror,good
key.com/personal/debit-cards/debit-card-options.jsp,good
mxp2062.com,bad
nyzusbojpxnl.cba.pl,bad
dinehere.ca/montreal/st-hubert-honor%C3%A9-beaugrand,good
ledticket.com/nbv364,bad
comfibook.com/n/Ritesh+Dharwadkar,good
www.aspadeljaen.com/j988765,bad
comitetul.info/wp-includes/images/docmailfrancenote/,bad
induction.it/site/wp-includes/js/tinymce/plugins/hr/connect_i.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;Email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4,bad
youtube.com/watch?v=AgZtZcxahwI,good
manchesterhighschool.org/jupgrade/includes/excel/?login=abuse@selfportrait.com.au,bad
alertatpc.space/,bad
www.alessandrocangiano.com/HJghjb54?qikdtjRP=FssCFJT,bad
academickids.com/encyclopedia/1/19/1919.html,good
gruposjardin.com.ar/templates/protostar/bobby_me/3e6419872823fc21f2c8df43658c0120/,bad
biz.yahoo.com/e/110808/dst10-q.html,good
laddiweb.blogspot.com/2009/05/bohemia-punjabi-rapper-biography.html,good
hockeyfights.com/fights/101114,good
